col_celltype,ORL10,ORL11,ORL12,ORL13,ORL14,ORL15,ORL16,ORL17,ORL18,ORL18198,ORL18870,ORL19,ORL20,ORL21,ORL22,ORL23,ORL23168,ORL24,ORL25,ORL26,ORL27,ORL28,ORL29,ORL30,ORL31,ORL32,ORL33,ORL36,ORL37,ORL38,ORL38856,ORL39,ORL4,ORL40,ORL41,ORL4130,ORL42,ORL46282,ORL5,ORL54253,ORL57814,ORL6,ORL65661,ORL69828,ORL7,ORL71884,ORL73244,ORL73524,ORL75821,ORL7801,ORL7948,ORL8,ORL80904,ORL9,ORL9391,Otx-a WT
A-line ASV/PSV,0.0,0.0,0.05714285714285714,0.0,0.038461538461538464,0.02857142857142857,0.0,0.038461538461538464,0.10416666666666667,0.23684210526315788,0.07017543859649122,0.1323529411764706,0.11538461538461539,0.08333333333333333,0.07407407407407407,0.0,0.0,0.09302325581395349,0.019230769230769232,0.12643678160919541,0.13636363636363635,0.06976744186046512,0.03333333333333333,0.0,0.047619047619047616,0.03125,0.0,0.06349206349206349,0.07692307692307693,0.0,0.06557377049180328,0.0,0.021739130434782608,0.043478260869565216,0.0,0.09090909090909091,0.13043478260869565,0.06779661016949153,0.1,0.05714285714285714,0.018518518518518517,0.024390243902439025,0.04,0.02702702702702703,0.038461538461538464,0.0,0.0,0.08,0.017857142857142856,0.14893617021276595,0.14864864864864866,0.0,0.030303030303030304,0.0,0.07692307692307693,0.05128205128205128
Endoderm (A),0.0,0.0196078431372549,0.01020408163265306,0.03225806451612903,0.0,0.017857142857142856,0.0,0.08108108108108109,0.17886178861788618,0.3076923076923077,0.11801242236024845,0.19101123595505617,0.1111111111111111,0.21019108280254778,0.012345679012345678,0.03773584905660377,0.0546875,0.1895424836601307,0.2857142857142857,0.416289592760181,0.2925170068027211,0.096,0.0738255033557047,0.047619047619047616,0.05102040816326531,0.043010752688172046,0.04411764705882353,0.20253164556962025,0.04395604395604396,0.07692307692307693,0.13218390804597702,0.04819277108433735,0.16666666666666666,0.06493506493506493,0.0546875,0.2426470588235294,0.3116279069767442,0.23648648648648649,0.11965811965811966,0.053763440860215055,0.07194244604316546,0.00909090909090909,0.04411764705882353,0.10091743119266056,0.0,0.05,0.1,0.17801047120418848,0.017543859649122806,0.12080536912751678,0.2268041237113402,0.046296296296296294,0.03260869565217391,0.0603448275862069,0.014084507042253521,0.09259259259259259
Endoderm (B),0.02247191011235955,0.058823529411764705,0.043010752688172046,0.0,0.0,0.038834951456310676,0.05,0.011494252873563218,0.10679611650485436,0.208955223880597,0.09448818897637795,0.12612612612612611,0.0425531914893617,0.12871287128712872,0.046153846153846156,0.02197802197802198,0.075,0.16666666666666666,0.15053763440860216,0.225,0.21176470588235294,0.11,0.07920792079207921,0.039473684210526314,0.03125,0.019417475728155338,0.0,0.056,0.02531645569620253,0.04838709677419355,0.09523809523809523,0.08433734939759036,0.08421052631578947,0.014925373134328358,0.03389830508474576,0.12941176470588237,0.265625,0.13043478260869565,0.09876543209876543,0.0273972602739726,0.08333333333333333,0.0380952380952381,0.07575757575757576,0.046511627906976744,0.0,0.08,0.07142857142857142,0.1774193548387097,0.042105263157894736,0.052083333333333336,0.13768115942028986,0.056179775280898875,0.030612244897959183,0.04878048780487805,0.017857142857142856,0.05813953488372093
Epidermis (a),0.0,0.0040650406504065045,0.0,0.0,0.003436426116838488,0.0,0.0,0.006920415224913495,0.027874564459930314,0.008968609865470852,0.007425742574257425,0.02544529262086514,0.0,0.012232415902140673,0.003389830508474576,0.007936507936507936,0.010380622837370242,0.012048192771084338,0.0035587188612099642,0.026595744680851064,0.012711864406779662,0.005305039787798408,0.011547344110854504,0.0,0.0,0.0,0.006756756756756757,0.006818181818181818,0.0030581039755351682,0.0036363636363636364,0.002242152466367713,0.00964630225080386,0.003125,0.0,0.006493506493506494,0.0,0.026970954356846474,0.05263157894736842,0.010135135135135136,0.006734006734006734,0.0070921985815602835,0.002457002457002457,0.0,0.01107011070110701,0.0,0.0,0.003048780487804878,0.018276762402088774,0.005449591280653951,0.011661807580174927,0.01272264631043257,0.0,0.0028089887640449437,0.0,0.0,0.007042253521126761
Epidermis (b),0.004,0.003134796238244514,0.005917159763313609,0.0035971223021582736,0.0026455026455026454,0.0,0.004889975550122249,0.011363636363636364,0.024886877828054297,0.02689873417721519,0.016863406408094434,0.02888086642599278,0.020491803278688523,0.016227180527383367,0.002232142857142857,0.006396588486140725,0.005376344086021506,0.01060070671378092,0.02132701421800948,0.036290322580645164,0.03235294117647059,0.013944223107569721,0.014925373134328358,0.010075566750629723,0.0017513134851138354,0.006263048016701462,0.0,0.006230529595015576,0.00554016620498615,0.0028011204481792717,0.0035149384885764497,0.004784688995215311,0.0,0.0,0.008797653958944282,0.027777777777777776,0.020588235294117647,0.07692307692307693,0.007537688442211055,0.0078125,0.028142589118198873,0.0038684719535783366,0.006191950464396285,0.015915119363395226,0.004132231404958678,0.003236245954692557,0.017699115044247787,0.03262955854126679,0.008912655971479501,0.002325581395348837,0.016728624535315983,0.00546448087431694,0.0,0.001890359168241966,0.0,0.0027548209366391185
Germ Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.02702702702702703,0.0,0.09090909090909091,0.03571428571428571,0.0,0.0,0.0,0.0,0.05263157894736842,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.04,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.058823529411764705,0.0,0.037037037037037035,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
LNC,0.018518518518518517,0.05405405405405406,0.03896103896103896,0.0136986301369863,0.047619047619047616,0.01282051282051282,0.0,0.0,0.15178571428571427,0.16339869281045752,0.10852713178294573,0.12962962962962962,0.20754716981132076,0.10256410256410256,0.017241379310344827,0.06493506493506493,0.0958904109589041,0.11224489795918367,0.12371134020618557,0.22162162162162163,0.2,0.0375,0.0967741935483871,0.04838709677419355,0.015384615384615385,0.02857142857142857,0.0,0.1,0.05555555555555555,0.04838709677419355,0.14393939393939395,0.03636363636363636,0.13402061855670103,0.044444444444444446,0.09876543209876543,0.14285714285714285,0.20253164556962025,0.25,0.0425531914893617,0.02040816326530612,0.08247422680412371,0.046875,0.04081632653061224,0.07777777777777778,0.0,0.02631578947368421,0.1,0.15503875968992248,0.0392156862745098,0.06140350877192982,0.19424460431654678,0.034482758620689655,0.015625,0.02857142857142857,0.13043478260869565,0.15
Mesenchyme,0.0,0.0,0.03529411764705882,0.011363636363636364,0.017857142857142856,0.0,0.014492753623188406,0.02857142857142857,0.043478260869565216,0.056962025316455694,0.058823529411764705,0.03968253968253968,0.10810810810810811,0.1111111111111111,0.0125,0.030303030303030304,0.014285714285714285,0.02702702702702703,0.05747126436781609,0.16574585635359115,0.08333333333333333,0.034482758620689655,0.018691588785046728,0.0,0.021052631578947368,0.031914893617021274,0.0,0.0,0.014084507042253521,0.014492753623188406,0.0,0.031746031746031744,0.0,0.03278688524590164,0.0,0.060240963855421686,0.029850746268656716,0.03488372093023256,0.011904761904761904,0.047619047619047616,0.03296703296703297,0.039603960396039604,0.0,0.029411764705882353,0.0,0.0,0.02666666666666667,0.04504504504504504,0.011627906976744186,0.013888888888888888,0.05555555555555555,0.011494252873563218,0.016666666666666666,0.028169014084507043,0.02040816326530612,0.0273972602739726
Muscle A/B,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.00909090909090909,0.038461538461538464,0.01,0.045454545454545456,0.013888888888888888,0.0,0.0,0.016666666666666666,0.0,0.07246376811594203,0.014598540145985401,0.031746031746031744,0.014705882352941176,0.0,0.0,0.011494252873563218,0.0,0.0,0.043010752688172046,0.013888888888888888,0.0,0.0297029702970297,0.0,0.0,0.0,0.01,0.014492753623188406,0.0078125,0.024096385542168676,0.0,0.01694915254237288,0.01904761904761905,0.02197802197802198,0.0,0.0273972602739726,0.0,0.0,0.02702702702702703,0.020618556701030927,0.013513513513513514,0.0,0.02608695652173913,0.037037037037037035,0.012195121951219513,0.0,0.016666666666666666,0.01694915254237288
