col_celltype,ORL10,ORL11,ORL12,ORL13,ORL14,ORL15,ORL16,ORL17,ORL18,ORL18198,ORL18870,ORL19,ORL20,ORL21,ORL22,ORL23,ORL23168,ORL24,ORL25,ORL26,ORL27,ORL28,ORL29,ORL30,ORL31,ORL32,ORL33,ORL36,ORL37,ORL38,ORL38856,ORL39,ORL4,ORL40,ORL41,ORL4130,ORL42,ORL46282,ORL5,ORL54253,ORL57814,ORL6,ORL65661,ORL69828,ORL7,ORL71884,ORL73244,ORL73524,ORL75821,ORL7801,ORL7948,ORL8,ORL80904,ORL9,ORL9391,Otx-a WT
A-line ASV/PSV,0.0,0.0,0.31219924165074087,0.0,0.11694499153929375,0.173746844572665,0.0,0.0973336987588583,0.4766311183514687,1.0844090135649342,0.2810064334729958,0.4191129571260955,0.36461537986632564,0.3822633504334229,0.2938922059385016,0.0,0.0,0.31607715760015626,0.05847249576964687,0.4851016574604602,0.4495212056693546,0.5097012384999816,0.0991886195042443,0.0,0.16021011458936008,0.09501780562567617,0.0,0.19099700382972004,0.2727511860677989,0.0,0.18448632100880474,0.0,0.05501469929848513,0.22816025244689164,0.0,0.2705144168297572,0.4458755174890059,0.268986086791171,0.31301424141365264,0.19225213750723208,0.05630684777817847,0.07416023853711311,0.12594445935068418,0.06839665318190043,0.10091703473612515,0.0,0.0,0.27350512102852065,0.056225205067269725,0.45140003535938417,0.5127343940797834,0.0,0.09213847818247387,0.0,0.25880095433665856,0.1839730029572855
Endoderm (A),0.0,0.14904753823635478,0.03878277780639844,0.15881259222662228,0.0,0.1037341078801078,0.0,0.35814564059313075,0.715006236189049,1.8149415157915254,0.5376759976757931,0.7156998257431809,0.4335844429150952,0.9868756477746028,0.051828995617565515,0.12663131349547296,0.280344777527608,0.9258446966115904,1.2426867616375932,2.3333040810518444,1.7887709386732058,0.3557933325221141,0.29254183567907177,0.28737327034382304,0.19987581203172658,0.20255309238646635,0.3502156562923791,0.9654151348186176,0.16992530441356352,0.2830518723737508,0.5136876036377246,0.22447968270164903,0.7786652422206534,0.3796736684359081,0.3019950974433068,1.2173770756415334,1.688073053196022,1.2359413227438698,0.46508866813243416,0.35516016359494684,0.24613124861648372,0.027641543454742158,0.14366756754080529,0.4187041869483148,0.0,0.17205930998502067,0.5381520703415298,0.8042309799758649,0.06659674125606095,0.4506833340721027,1.1030365132858184,0.31233159053427006,0.18289956527515627,0.2665688785751592,0.03564332630606079,0.3669665197273769
Endoderm (B),0.07686833713537848,0.21290348308954246,0.15699304862549338,0.0,0.0,0.11246794863626043,0.2565480751893256,0.04368634741410399,0.4324796947810111,1.034341123876411,0.377000028379245,0.6086640030857811,0.1617324351075339,0.5734653111025095,0.13762278212398524,0.1370224069651637,0.2836210054960578,0.5195455378506474,0.6286687223338713,1.6222760800206437,1.2800538254840659,0.3886177744848958,0.29028008660530974,0.1066042383616088,0.12390369264824257,0.055138715063081746,0.0,0.20109720630905684,0.14433084398836887,0.1336815417145185,0.34477940524039796,0.34223896631747286,0.36777074292077355,0.03970893369431243,0.13769466587130333,0.5017525910298286,1.231915727491553,0.601437393745301,0.35074382336914006,0.09916052637047185,0.276144724795696,0.12424469283950842,0.41233469566857467,0.16158322312129975,0.0,0.41578648654342204,0.2464421196437525,0.6921518753614255,0.2266761820301637,0.17039887548882562,0.45901488972336046,0.17100829811449622,0.1215062734573711,0.15131844468598224,0.07496694008969297,0.29710503401608757
Epidermis (a),0.0,0.010287301494838683,0.0,0.0,0.008696481676049196,0.0,0.0,0.032107771447558796,0.13224305147216922,0.04303799308806106,0.031045421640072412,0.1278420874223867,0.0,0.03869535424664092,0.010307016203463179,0.033992355175483074,0.0559162086357021,0.10952048592431801,0.010820533024988034,0.09549813438109479,0.04447191361252972,0.020371731443485103,0.05282650852729886,0.0,0.0,0.0,0.025648744943212665,0.09545711685929345,0.012838375061231824,0.02211323476379373,0.007565549081406027,0.04644071050185598,0.014252670843851425,0.0,0.020445529115370807,0.0,0.1095807262980883,0.2435675787479253,0.04362508654807031,0.03256383117118282,0.025924972561461077,0.011206031130300873,0.0,0.05590208503354746,0.0,0.0,0.01279923367385002,0.1405610181158986,0.02573796853215617,0.05700050706918228,0.03477722599745389,0.0,0.007108640920590775,0.0,0.0,0.025557617580653162
Epidermis (b),0.01889166890260263,0.011914458385664723,0.019095227498563756,0.016689111417885778,0.006694910496641048,0.0,0.02256662846897403,0.03778615017530546,0.09597944886621682,0.11117888625378657,0.066932002160217,0.1196306342561922,0.09605507436684438,0.05390561682566745,0.011297661463081768,0.017505253345901358,0.017019861270853125,0.043849455726194066,0.07470257178354447,0.16885283219219788,0.13767436750385426,0.05056754859001925,0.0626582369612408,0.038197511432042426,0.004432007299002305,0.021132995137622682,0.0,0.018043923223574492,0.029479208393561582,0.008819640010552113,0.010681911384456167,0.025459316339894095,0.0,0.0,0.028390331631333168,0.12005697227920552,0.08222650357007114,0.3151359323100296,0.023757222237061212,0.02577364912599292,0.1165346231693709,0.018772965731265863,0.02151493408295403,0.06521951401015953,0.10051470347178967,0.01018968117723982,0.06502598254000343,0.11804605868913141,0.03942755839182522,0.011770586826652633,0.06312704318950108,0.025575327042908786,0.0,0.004783886895520446,0.0,0.013943119381434247
Germ Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14886330398413625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07443165199206812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17492286020928358,0.0,0.0,0.06839665318190043,0.0,0.2300614697936651,0.3012709723488472,0.0,0.0,0.0,0.0,0.36006747394993077,0.06756821733381417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14712434419459536,0.16792594580091225,0.0,0.0,0.0,0.0,0.0,0.1382077172737108,0.0,0.1852124402215944,0.0,0.11261369555635695,0.0,0.0,0.0,0.12594445935068418,0.0,0.0,0.0,0.0
LNC,0.058307620069761194,0.27305566765027595,0.16139944717028049,0.03466679681822351,0.2209320463891546,0.03898166384643125,0.0,0.0,0.5892844229099206,0.6891070096536518,0.4089812123259888,0.6164004192112964,0.7184355019510003,0.415715510725016,0.054286404892536284,0.23642833530574647,0.3469253913839651,0.544428747355327,0.4451781216065096,1.0073513983901419,0.7412175497904804,0.14431135967265898,0.3743709058299865,0.16112731433573851,0.04036681389445006,0.08113268073567743,0.0,0.3772894073793141,0.2362672916681516,0.21009754484334406,0.5830399752559975,0.20597864302403243,0.48687939840151573,0.15758957417250605,0.3662308325153571,0.7373288999425953,0.8058660109666412,1.2329081084154048,0.13299233191127108,0.05164645240265951,0.2782844434854113,0.16796931146595623,0.16288766678687341,0.4066729838251892,0.0,0.08001499421109573,0.38119889469174106,0.6258242380939157,0.16845299805532332,0.22662983942364212,0.8174946272475968,0.12480549008697318,0.04750890281283808,0.08113268073567743,0.40428899408781055,0.469720305914361
Mesenchyme,0.0,0.0,0.1219995848390411,0.03577967595189891,0.04519064585232707,0.0,0.0550827858699572,0.0795892278250279,0.14408789864540664,0.2961990649482776,0.21706369501638426,0.12945941218023813,0.8019351033860214,0.3707378340527385,0.0665124639379733,0.1842769563649477,0.048203355575815544,0.09709050774556365,0.16685892857254017,0.5862948116899759,0.4428003168454566,0.1044259044331636,0.05885255109845055,0.0,0.06401199536887658,0.11290375867395247,0.0,0.0,0.04434664061643809,0.08813245739193151,0.0,0.23454558040298776,0.0,0.2037337283952721,0.0,0.21395789162634984,0.1174653487379886,0.1060663876751734,0.040169462979846284,0.16316330484231875,0.11921238659042956,0.1186737684958483,0.0,0.09592421138344401,0.0,0.0,0.0869712849876559,0.1598525228527073,0.03923528942217544,0.0351482801073655,0.21384396956933882,0.03878430908398952,0.050676163000360624,0.07128665261212158,0.06425737721973683,0.21565832080596606
Muscle A/B,0.0,0.0,0.0,0.0,0.0,0.04524657410746484,0.0,0.0,0.0,0.030674862639155344,0.12024706430970747,0.1064199423007573,0.15337431319577674,0.07390273770885923,0.0,0.0,0.050676163000360624,0.0,0.2496178471818432,0.05792036175430324,0.16775687176692655,0.03721582599603406,0.0,0.0,0.048254582126698926,0.0,0.0,0.15160909030058262,0.06334520375045077,0.0,0.0924533935401569,0.0,0.0,0.0,0.03374234890307088,0.04406622869596576,0.023754451406419044,0.11905845524181109,0.0,0.07148802733701458,0.08290459488745265,0.10482187613100796,0.0,0.07631843764043772,0.0,0.0,0.08363758464579381,0.06380599241019322,0.0850976076693812,0.0,0.07872628297221311,0.11528139194513391,0.046350149085695694,0.0,0.0562372481717848,0.05153508101731589
